Kennziffer,Raumeinheit,Aggregat,Bevölkerung gesamt
1001,"Flensburg, Stadt",kreisfreie Stadt,84694
1002,"Kiel, Stadt",kreisfreie Stadt,243148
1003,"Lübeck, Stadt",kreisfreie Stadt,214420
1004,"Neumünster, Stadt",kreisfreie Stadt,77588
1051,Dithmarschen,Landkreis,132685
1053,Herzogtum Lauenburg,Landkreis,190703
1054,Nordfriesland,Landkreis,162203
1055,Ostholstein,Landkreis,198355
1056,Pinneberg,Landkreis,304087
1057,Plön,Landkreis,126865
1058,Rendsburg-Eckernförde,Landkreis,268628
1059,Schleswig-Flensburg,Landkreis,195593
1060,Segeberg,Landkreis,264972
1061,Steinburg,Landkreis,130218
1062,Stormarn,Landkreis,236705
2000,"Hamburg, Stadt",kreisfreie Stadt,1762791
3101,"Braunschweig, Stadt",kreisfreie Stadt,248502
3102,"Salzgitter, Stadt",kreisfreie Stadt,98966
3103,"Wolfsburg, Stadt",kreisfreie Stadt,123027
3151,Gifhorn,Landkreis,172541
3153,Goslar,Landkreis,137256
3154,Helmstedt,Landkreis,90908
3155,Northeim,Landkreis,133905
3157,Peine,Landkreis,130601
3158,Wolfenbüttel,Landkreis,120035
3159,Göttingen,Landkreis,324013
3241,Region Hannover,Landkreis,1128037
3251,Diepholz,Landkreis,211093
3252,Hameln-Pyrmont,Landkreis,147813
3254,Hildesheim,Landkreis,274554
3255,Holzminden,Landkreis,71438
3256,Nienburg (Weser),Landkreis,119631
3257,Schaumburg,Landkreis,155847
3351,Celle,Landkreis,176157
3352,Cuxhaven,Landkreis,196787
3353,Harburg,Landkreis,245199
3354,Lüchow-Dannenberg,Landkreis,48728
3355,Lüneburg,Landkreis,178122
3356,Osterholz,Landkreis,111484
3357,Rotenburg (Wümme),Landkreis,161842
3358,Heidekreis,Landkreis,136200
3359,Stade,Landkreis,197448
3360,Uelzen,Landkreis,92533
3361,Verden,Landkreis,133215
3401,"Delmenhorst, Stadt",kreisfreie Stadt,74804
3402,"Emden, Stadt",kreisfreie Stadt,50016
3403,"Oldenburg (Oldenburg), Stadt",kreisfreie Stadt,160907
3404,"Osnabrück, Stadt",kreisfreie Stadt,156897
3405,"Wilhelmshaven, Stadt",kreisfreie Stadt,75534
3451,Ammerland,Landkreis,119917
3452,Aurich,Landkreis,187998
3453,Cloppenburg,Landkreis,162350
3454,Emsland,Landkreis,315757
3455,Friesland,Landkreis,96937
3456,Grafschaft Bentheim,Landkreis,134329
3457,Leer,Landkreis,165809
3458,Oldenburg,Landkreis,126798
3459,Osnabrück,Landkreis,351316
3460,Vechta,Landkreis,136184
3461,Wesermarsch,Landkreis,88765
3462,Wittmund,Landkreis,56539
4011,"Bremen, Stadt",kreisfreie Stadt,551767
4012,"Bremerhaven, Stadt",kreisfreie Stadt,110121
5111,"Düsseldorf, Stadt",kreisfreie Stadt,604527
5112,"Duisburg, Stadt",kreisfreie Stadt,485465
5113,"Essen, Stadt",kreisfreie Stadt,573784
5114,"Krefeld, Stadt",kreisfreie Stadt,222500
5116,"Mönchengladbach, Stadt",kreisfreie Stadt,256853
5117,"Mülheim an der Ruhr, Stadt",kreisfreie Stadt,167108
5119,"Oberhausen, Stadt",kreisfreie Stadt,209292
5120,"Remscheid, Stadt",kreisfreie Stadt,109009
5122,"Solingen, Stadt",kreisfreie Stadt,156771
5124,"Wuppertal, Stadt",kreisfreie Stadt,345425
5154,Kleve,Landkreis,304963
5158,Mettmann,Landkreis,477760
5162,Rhein-Kreis Neuss,Landkreis,442522
5166,Viersen,Landkreis,295067
5170,Wesel,Landkreis,457244
5314,"Bonn, Stadt",kreisfreie Stadt,313958
5315,"Köln, Stadt",kreisfreie Stadt,1046680
5316,"Leverkusen, Stadt",kreisfreie Stadt,161540
5334,Städteregion Aachen,Landkreis,547661
5358,Düren,Landkreis,259073
5362,Rhein-Erft-Kreis,Landkreis,459448
5366,Euskirchen,Landkreis,188158
5370,Heinsberg,Landkreis,249310
5374,Oberbergischer Kreis,Landkreis,270618
5378,Rheinisch-Bergischer Kreis,Landkreis,279497
5382,Rhein-Sieg-Kreis,Landkreis,585781
5512,"Bottrop, Stadt",kreisfreie Stadt,116017
5513,"Gelsenkirchen, Stadt",kreisfreie Stadt,257651
5515,"Münster, Stadt",kreisfreie Stadt,302178
5554,Borken,Landkreis,365191
5558,Coesfeld,Landkreis,215996
5562,Recklinghausen,Landkreis,613092
5566,Steinfurt,Landkreis,437127
5570,Warendorf,Landkreis,273412
5711,"Bielefeld, Stadt",kreisfreie Stadt,329782
5754,Gütersloh,Landkreis,354463
5758,Herford,Landkreis,249219
5762,Höxter,Landkreis,142770
5766,Lippe,Landkreis,345127
5770,Minden-Lübbecke,Landkreis,309216
5774,Paderborn,Landkreis,299071
5911,"Bochum, Stadt",kreisfreie Stadt,361876
5913,"Dortmund, Stadt",kreisfreie Stadt,580511
5914,"Hagen, Stadt",kreisfreie Stadt,186716
5915,"Hamm, Stadt",kreisfreie Stadt,176580
5916,"Herne, Stadt",kreisfreie Stadt,154608
5954,Ennepe-Ruhr-Kreis,Landkreis,322916
5958,Hochsauerlandkreis,Landkreis,261561
5962,Märkischer Kreis,Landkreis,413820
5966,Olpe,Landkreis,134759
5970,Siegen-Wittgenstein,Landkreis,275909
5974,Soest,Landkreis,296742
5978,Unna,Landkreis,391774
6411,"Darmstadt, Stadt",kreisfreie Stadt,151879
6412,"Frankfurt am Main, Stadt",kreisfreie Stadt,717624
6413,"Offenbach am Main, Stadt",kreisfreie Stadt,120988
6414,"Wiesbaden, Stadt",kreisfreie Stadt,275116
6431,Bergstraße,Landkreis,263822
6432,Darmstadt-Dieburg,Landkreis,287966
6433,Groß-Gerau,Landkreis,260793
6434,Hochtaunuskreis,Landkreis,230798
6435,Main-Kinzig-Kreis,Landkreis,407619
6436,Main-Taunus-Kreis,Landkreis,229976
6437,Odenwaldkreis,Landkreis,96082
6438,Offenbach,Landkreis,341669
6439,Rheingau-Taunus-Kreis,Landkreis,182117
6440,Wetteraukreis,Landkreis,297369
6531,Gießen,Landkreis,259834
6532,Lahn-Dill-Kreis,Landkreis,251440
6533,Limburg-Weilburg,Landkreis,170385
6534,Marburg-Biedenkopf,Landkreis,241598
6535,Vogelsbergkreis,Landkreis,105763
6611,"Kassel, Stadt",kreisfreie Stadt,194747
6631,Fulda,Landkreis,217326
6632,Hersfeld-Rotenburg,Landkreis,119394
6633,Kassel,Landkreis,233451
6634,Schwalm-Eder-Kreis,Landkreis,179466
